3.5,2.5,11
46.5,-3,3.5
-3.5,-3,-1
5.5,-5,3
54,1,5.5
42.5,3,9
-1,-4,-1
53,3,-9
1,-1,5.5
3,4,0
52,12,-11
14,13.5,-0.5
11,-6.5,2.5
56,-4,2.5
3,10,1
7.5,-4.5,0
1,15,-1
3,10,-1.5
13,12,1
5,1,0
10,2.5,3
32,9,29
34,9,31
5,10,-1
4,3,-1
9,2,0
50,4,7.5
27,1,29
53,3,1.5
54,3,4.5
49.5,12,-12
45,10.5,-3.5
13,4,-1
9,1,0.5
46.5,-5,2
1,0,9.5
43,2.5,-0.5
60,10,7.5
45,3,-4
4,14,-3
-0.5,0,11
11,-13,1.5
43.5,12,-1
45,3,-6.5
10,13.5,3
51,-2,10
11,2.5,1
2.5,3.5,3.5
30,12,13
44,-11,-11
14,4,-1
52,13,-1.5
50,-4,-12
3,-4,0
53,3,2.5
52,-6,-1
57,13,-14
45.5,-6,4.5
10,-12.5,2
-1,9,1
45,2,-9
4,12,-1
50,-6,-12.5
4,-4,-1
4.5,1,1.5
52,12,-0.5
30,10,27
5,2,-2
8,-3,-1
-2,15,10
-2,-4.5,-1
13,3,0.5
-4,1,0
33.5,0,29
29,-5,27
0,-5,9
45,2,1.5
4,13.5,1
52,-6,4.5
11,12,2
0.5,-1,2
5,1,2
0,-5,8
56,-1,7
1,2.5,-2
0,12,8
33.5,3,29
10,-10,3
46,-7,-20
49,-1,-1.5
4.5,12,0.5
49,4,-8
10,3,2
47.5,-12,3
44,-6,-7
46.5,-3,-8
3.5,3,-0.5
53,-5,0.5
49,0,-18
45.5,-4,-1
0,-4,8
42,-4,2.5
50,12,-1.5
43.5,-7,4.5
10,-5,1
7,12,2
4.5,3,3.5
42.5,9,1
10,0,3
34,10.5,25.5
5,12,0
0,13,9
12.5,-5,6
10,1,-8
11,-9,2
42,-7,12
1,4,11
51,-13.5,0.5
3,10,3
46,-2,-19
49,11,-3
9,12,0
42,12,5
10,1.5,1.5
10,5,3
10,4,-3
5,-7,11
50.5,3,2.5
54,14,3.5
5,10,0
50,3,-13
11,-12.5,3
3,12,-2
52,3,-15
51,10,-2
13,1.5,3
44,14.5,-9
8.5,15,0
5,12,11
12,12,0
13,10,1.5
14,-7,-1
13,11,2.5
8,11,0
42,3,12
8,11,0.5
8,0,0.5
51,-7,-12
8,11,2
-0.5,14,8
7,2.5,2
3,-7,-2
11,12,2
42,4,60
44,12,-7
4.5,12,3
5,3,0
49,11.5,2.5
5,10,0
10,1.5,2
48,10,-11
14,3,-1
3,0,-2
4.5,11,12.5
8,12,0
49.5,12,-10.5
46,-2,3
8,-6,1
3,4,-0.5
14,2,-4.5
10,3,2
45,3,1
43.5,-2,4
45,-6.5,0
46,-1,-7
54,2,-10
46,1,-15
43.5,1,1.5
-2,4,1
45.5,11,3.5
6.5,12,12
-1,-5,14
42,12,35
52.5,-9,5
50,10,-11
8,3,0.5
3,2,0
14,11,-2
42,3.5,60
56,12,1.5
10,2,3
57,0,1
7,12,0
57,1.5,-12
45,11,-9
9,-2,-0.5
46,13,-9
14,12,-5
46,4,-20
-1,14,11
14,12,-5
29,-7,13
9,10,-1
42,12,2.5
3,12,1.5
10,3,1
13,3,1.5
54.5,3.5,7
11,3,0
10,2.5,2
48,-6.5,-1.5
4,3,-3
10.5,3,-3
13,13,0.5
46,11,-20
34.5,1.5,16
44.5,6,-0.5
50.5,2.5,9.5
34.5,3,30
2,-8,3
50,-13,6
55,12,-13
10,12,2
13,2,7
3.5,3,9.5
49.5,3.5,2
34,-4,28
50,12,5
5,-6,2.5
48,11,-5
10,13,-8.5
11.5,-8,5
5.5,12,11
48.5,10,-11
35,11.5,2
42,12,1
3,13,0
45,10,0.5
10,-5,2
2,1,1
51,12,2.5
14,2.5,-3
9,2,1
11,9,-1
13,13,2
13,-9,-1
4,10,-2
43.5,-5,6.5
44,12,-1
10,1,2.5
26,10,10
3,13,0.5
46,-5,-7
4,14,-1.5
11,11,2
51,12,2
4,-2,-3
55,3,-1.5
13,12,1.5
-3,-5,14
8,9,0.5
10,-5,1
1.5,3,0
11,11,2
8,12,1
10,3.5,2
42.5,-5,5
49.5,13,-14
14,13.5,-2
53,11,-2
5,-7,0
2.5,12,0.5
49,3,-15
5,1,-0.5
13,3,0
43,-2,-10
47,12,-9
3,-5,1
11,-12,1.5
4,12,-1
6,14,2
12,-5,6
46.5,2,-18
27,2,28
42,1.5,2
50,-4,-17.5
42,12,1
10,12,-6
2,12,0
46,,-9
14,,-5
11,,0
56,,-2
50,,-17
45,,-3.5
-3,,13
56,,-1.5
10,,2
14,,-1
10,,2.5
