Subject ID,Group 1,Block 1,Block 2,Block 3,Block 4,Group 2,Block 5,Block 6,Block 7,Block 8,Group 3,Block 9,Block 10,Block 11,Block 12
1,1,3.5,4,4.5,3,2,6.5,5.5,7,6,0,5,5,5,5
2,0,5,5,5,5,2,6.5,5.5,6,7,1,3.5,3,4,4.5
3,1,4,3.5,4.5,3,2,6,6.5,7,5.5,0,5,5,5,5
4,2,6.5,5.5,6,7,1,4,3,3.5,4.5,0,5,5,5,5
5,0,5,5,5,5,2,5.5,6.5,6,7,1,4.5,3,4,3.5
6,1,4,3.5,4.5,3,0,5,5,5,5,2,5.5,6.5,7,6
7,1,3.5,4.5,4,3,2,6.5,5.5,6,7,0,5,5,5,5
8,1,3,4.5,3.5,4,2,6.5,6,7,5.5,0,5,5,5,5
9,1,3.5,3,4,4.5,0,5,5,5,5,2,6.5,7,5.5,6
10,1,3,4.5,3.5,4,2,7,6.5,6,5.5,0,5,5,5,5
11,2,5.5,6.5,6,7,1,3,4,3.5,4.5,0,5,5,5,5
12,0,5,5,5,5,2,6,7,5.5,6.5,1,3,3.5,4,4.5
13,2,6.5,6,7,5.5,1,3.5,3,4.5,4,0,5,5,5,5
14,1,3,3.5,4.5,4,2,7,5.5,6.5,6,0,5,5,5,5
15,0,5,5,5,5,2,7,6.5,6,5.5,1,4.5,4,3,3.5
16,1,4.5,3,4,3.5,2,6,6.5,5.5,7,0,5,5,5,5
17,1,3,4.5,3.5,4,0,5,5,5,5,2,6.5,7,5.5,6
18,2,7,6,6.5,5.5,1,4.5,3.5,3,4,0,5,5,5,5
19,2,6,5.5,7,6.5,0,5,5,5,5,1,3,3.5,4,4.5
20,2,7,6.5,6,5.5,0,5,5,5,5,1,4.5,4,3,3.5
21,2,7,6.5,5.5,6,0,5,5,5,5,1,4.5,3,3.5,4
22,1,3,3.5,4,4.5,0,5,5,5,5,2,7,5.5,6.5,6
23,2,5.5,6.5,6,7,1,4.5,3,3.5,4,0,5,5,5,5
24,2,7,6,6.5,5.5,1,3.5,4,3,4.5,0,5,5,5,5
25,0,5,5,5,5,1,4.5,4,3,3.5,2,6,6.5,5.5,7
26,0,5,5,5,5,2,5.5,6.5,6,7,1,3.5,3,4,4.5
27,2,6,6.5,7,5.5,0,5,5,5,5,1,4.5,4,3.5,3
28,2,7,6,6.5,5.5,0,5,5,5,5,1,3.5,4.5,3,4
29,0,5,5,5,5,2,6,7,6.5,5.5,1,4,3,4.5,3.5
30,0,5,5,5,5,2,5.5,7,6.5,6,1,3,3.5,4,4.5
